Multipole_ell,D_ell_LambdaCDM_Theory,D_ell_ECF_Theory
353,568.9034042486552,568.9034042486552
354,567.4613464255276,567.4613464255276
355,566.1320303271754,566.1320303271754
356,564.9108777817377,564.9108777817377
357,563.7936638419403,563.7936638419403
358,562.7765032164272,562.7765032164272
359,561.8558368808845,561.8558368808845
360,561.028418898593,561.028418898593
361,560.2913034763525,560.2913034763525
362,559.6418322782108,559.6418322782108
363,559.0776220160978,559.0776220160978
364,558.5965523333122,558.5965523333122
365,558.1967539938389,558.1967539938389
366,557.8765973876995,557.8765973876995
367,557.6346813599343,557.6346813599343
368,557.4698223684011,557.4698223684011
369,557.381043973347,557.381043973347
370,557.3675666596475,557.3675666596475
371,557.4287979907257,557.4287979907257
372,557.5643230914545,557.5643230914545
373,557.773895455792,557.773895455792
374,558.0574280735071,558.0574280735071
375,558.4149848691189,558.4149848691189
376,558.8467724450724,558.8467724450724
377,559.3531321202257,559.3531321202257
378,559.9345322539003,559.9345322539003
379,560.5915608450458,560.5915608450458
380,561.3249183955019,561.3249183955019
381,562.1354110258656,562.1354110258656
382,563.0239438321199,563.0239438321199
383,563.9915144709076,563.9915144709076
384,565.0392069611751,565.0392069611751
385,566.1681856898083,566.1681856898083
386,567.3796896088926,567.3796896088926
387,568.6750266122707,568.6750266122707
388,570.055568079222,570.055568079222
389,571.5227435732605,571.5227435732605
390,573.0780356842985,573.0780356842985
391,574.7229750027149,574.7229750027149
392,576.4591352142047,576.4591352142047
393,578.2881283046567,578.2881283046567
394,580.2115998647243,580.2115998647243
395,582.2312244841903,582.2312244841903
396,584.3487012266946,584.3487012266946
397,586.5657491758858,586.5657491758858
398,588.8841030445643,588.8841030445643
399,591.3055088389118,591.3055088389118
400,593.831719570439,593.831719570439
401,596.4644910088282,596.4644910088282
402,599.2055774694112,599.2055774694112
403,602.0567276295722,602.0567276295722
404,605.019680368938,605.019680368938
405,608.0961606287743,608.0961606287743
406,611.287875286577,611.287875286577
407,614.5965090423981,614.5965090423981
408,618.0237203140134,618.0237203140134
409,621.5711371385753,621.5711371385753
410,625.240353078949,625.240353078949
411,629.0329231334576,629.0329231334576
412,632.9503596482874,632.9503596482874
413,636.9941282323239,636.9941282323239
414,641.1656436746857,641.1656436746857
415,645.4662658657228,645.4662658657228
416,649.8972957227161,649.8972957227161
417,654.4599711219832,654.4599711219832
418,659.1554628395544,659.1554628395544
419,663.9848705029999,663.9848705029999
420,668.9492185574298,668.9492185574298
421,674.049452249081,674.049452249081
422,679.2864336302927,679.2864336302927
423,684.6609375900533,684.6609375900533
424,690.1736479146424,690.1736479146424
425,695.8251533832359,695.8251533832359
426,701.6159439036578,701.6159439036578
427,707.5464066937573,707.5464066937573
428,713.6168225141757,713.6168225141757
429,719.8273619585233,719.8273619585233
430,726.1780818072268,726.1780818072268
431,732.6689214515296,732.6689214515296
432,739.2996993943301,739.2996993943301
433,746.0701098347113,746.0701098347113
434,752.9797193431863,752.9797193431863
435,760.0279636348092,760.0279636348092
436,767.2141444474205,767.2141444474205
437,774.5374265323896,774.5374265323896
438,781.996834765281,781.996834765281
439,789.5912513839243,789.5912513839243
440,797.3194133613927,797.3194133613927
441,805.1799099213883,805.1799099213883
442,813.1711802035255,813.1711802035255
443,821.291511085946,821.291511085946
444,829.5390351726404,829.5390351726404
445,837.9117289527583,837.9117289527583
446,846.4074111390701,846.4074111390701
447,855.0237411926217,855.0237411926217
448,863.7582180404396,863.7582180404396
449,872.6081789929847,872.6081789929847
450,881.570798867834,881.570798867834
451,890.6430893258424,890.6430893258424
452,899.8218984257894,899.8218984257894
453,909.103910403244,909.103910403244
454,918.48564567908,918.48564567908
455,927.9634611027676,927.9634611027676
456,937.5335504352256,937.5335504352256
457,947.1919450756643,947.1919450756643
458,956.9345150364717,956.9345150364717
459,966.7569701698117,966.7569701698117
460,976.6548616491684,976.6548616491684
461,986.6235837086698,986.6235837086698
462,996.658375642552,996.658375642552
463,1006.7543240666827,1006.7543240666827
464,1016.9063654435708,1016.9063654435708
465,1027.1092888718126,1027.1092888718126
466,1037.3577391404124,1037.3577391404124
467,1047.646220047905,1047.646220047905
468,1057.9690979856816,1057.9690979856816
469,1068.3206057843922,1068.3206057843922
470,1078.6948468217445,1078.6948468217445
471,1089.0857993894822,1089.0857993894822
472,1099.4873213167664,1099.4873213167664
473,1109.8931548466253,1109.8931548466253
474,1120.2969317615787,1120.2969317615787
475,1130.6921787539834,1130.6921787539834
476,1141.07232303608,1141.07232303608
477,1151.4306981841669,1151.4306981841669
478,1161.7605502107651,1161.7605502107651
479,1172.0550438580945,1172.0550438580945
480,1182.3072691056202,1182.3072691056202
481,1192.5102478839153,1192.5102478839153
482,1202.656940986527,1202.656940986527
483,1212.7402551710406,1212.7402551710406
484,1222.7530504400158,1222.7530504400158
485,1232.6881474919828,1232.6881474919828
486,1242.5383353322031,1242.5383353322031
487,1252.2963790324513,1252.2963790324513
488,1261.9550276286145,1261.9550276286145
489,1271.5070221444992,1271.5070221444992
490,1280.945103729822,1280.945103729822
491,1290.2620218999846,1290.2620218999846
492,1299.4505428648765,1299.4505428648765
493,1308.503457933617,1308.503457933617
494,1317.4135919818298,1317.4135919818298
495,1326.1738119677907,1326.1738119677907
496,1334.777035483498,1334.777035483498
497,1343.2162393265269,1343.2162393265269
498,1351.4844680783153,1351.4844680783153
499,1359.5748426743626,1359.5748426743626
500,1367.4805689517066,1367.4805689517066
501,1375.194946158931,1375.194946158931
502,1382.7113754138818,1382.7113754138818
503,1390.0233680942565,1390.0233680942565
504,1397.1245541461997,1397.1245541461997
505,1404.008690296101,1404.008690296101
506,1410.6696681508263,1410.6696681508263
507,1417.1015221717348,1417.1015221717348
508,1423.2984375079554,1423.2984375079554
509,1429.254757674571,1429.254757674571
510,1434.9649920615486,1434.9649920615486
511,1440.4238232595012,1440.4238232595012
512,1445.626114188628,1445.626114188628
513,1450.5669150174704,1450.5669150174704
514,1455.2414698584776,1455.2414698584776
515,1459.6452232277081,1459.6452232277081
516,1463.773826256416,1463.773826256416
517,1467.6231426426773,1467.6231426426773
518,1471.1892543316696,1471.1892543316696
519,1474.4684669137073,1474.4684669137073
520,1477.4573147296226,1477.4573147296226
521,1480.1525656736446,1480.1525656736446
522,1482.551225684464,1482.551225684464
523,1484.6505429157573,1484.6505429157573
524,1486.4480115780634,1486.4480115780634
525,1487.9413754445002,1487.9413754445002
526,1489.1286310134835,1489.1286310134835
527,1490.008030322244,1490.008030322244
528,1490.5780834056254,1490.5780834056254
529,1490.8375603953396,1490.8375603953396
530,1490.7854932555445,1490.7854932555445
531,1490.4211771513299,1490.4211771513299
532,1489.7441714474191,1489.7441714474191
533,1488.7543003351125,1488.7543003351125
534,1487.4516530862377,1487.4516530862377
535,1485.8365839336118,1485.8365839336118
536,1483.9097115782372,1483.9097115782372
537,1481.6719183242226,1481.6719183242226
538,1479.12434884311,1479.12434884311
539,1476.2684085700675,1476.2684085700675
540,1473.1057617350864,1473.1057617350864
541,1469.638329033062,1469.638329033062
542,1465.868284937342,1465.868284937342
543,1461.7980546620004,1461.7980546620004
544,1457.430310778804,1457.430310778804
545,1452.7679694954786,1452.7679694954786
546,1447.8141866025464,1447.8141866025464
547,1442.572353096631,1442.572353096631
548,1437.0460904887339,1437.0460904887339
549,1431.239245806586,1431.239245806586
550,1425.1558863007344,1425.1558863007344
551,1418.800293864573,1418.800293864573
552,1412.1769591790385,1412.1769591790385
553,1405.2905755931922,1405.2905755931922
554,1398.1460327523635,1398.1460327523635
555,1390.7484099859678,1390.7484099859678
556,1383.102969467522,1383.102969467522
557,1375.215149159749,1375.215149159749
558,1367.090555558006,1367.090555558006
559,1358.7349562455902,1358.7349562455902
560,1350.1542722747472,1350.1542722747472
561,1341.3545703874577,1341.3545703874577
562,1332.3420550902865,1332.3420550902865
563,1323.1230605977667,1323.1230605977667
564,1313.7040426589238,1313.7040426589238
565,1304.0915702816637,1304.0915702816637
566,1294.2923173698327,1294.2923173698327
567,1284.3130542877802,1284.3130542877802
568,1274.1606393672914,1274.1606393672914
569,1263.8420103717071,1263.8420103717071
570,1253.3641759320167,1253.3641759320167
571,1242.7342069695987,1242.7342069695987
572,1231.959228120179,1231.959228120179
573,1221.0464091734073,1221.0464091734073
574,1210.0029565422924,1210.0029565422924
575,1198.836104776496,1198.836104776496
576,1187.5531081332679,1187.5531081332679
577,1176.1612322195108,1176.1612322195108
578,1164.6677457181918,1164.6677457181918
579,1153.079912211965,1153.079912211965
580,1141.4049821165495,1141.4049821165495
581,1129.650184736007,1129.650184736007
582,1117.822720451699,1117.822720451699
583,1105.9297530562517,1105.9297530562517
584,1093.9784022434571,1093.9784022434571
585,1081.975736264554,1081.975736264554
586,1069.9287647608842,1069.9287647608842
587,1057.844431782412,1057.844431782412
588,1045.72960900111,1045.72960900111
589,1033.5910891276922,1033.5910891276922
590,1021.4355795396432,1021.4355795396432
591,1009.2696961279756,1009.2696961279756
592,997.0999573695824,997.0999573695824
593,984.9327786315131,984.9327786315131
594,972.7744667129459,972.7744667129459
595,960.6312146300659,960.6312146300659
596,948.5090966484902,948.5090966484902
